name,artist,album,release_date,id,popularity,duration_ms,explicit,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key_confidence,mode_confidence,tempo_confidence,time_signature_confidence,beats_count,first_beat_start,average_beat_duration
U WON'T!,INJI,U WON'T!,2025-05-02,7iYyOqLQY46zCtfP3zW3bl,53,121795,True,[],,,,,,,,,,,,,,,,,,,
Manny's Ready to Roll,Psychedelic Porn Crumpets,Manny's Ready to Roll,2025-08-07,6GQgySvc7L8B740ekKc0kV,47,221859,False,"['psychedelic rock', 'neo-psychedelic', 'acid rock', 'stoner rock']",,,,,,,,,,,,,,,,,,,
SOLD MY SOUL,BSEARL,SOLD MY SOUL,2025-05-22,6lSWUkwJ68QQ6pgdM7ZySj,36,199550,False,"['drum and bass', 'liquid funk']",,,,,,,,,,,,,,,,,,,
LOST MYSELF,Palm,SKYSBLUE,2024-07-19,7Dx32Vmx6GmOIDQ42vhbgq,39,151384,False,['future house'],,,,,,,,,,,,,,,,,,,
Campeón,ZULAN,Campeón,2025-06-27,5TpWybXTsLTUAj4WcUYkP0,61,173777,False,['uk garage'],,,,,,,,,,,,,,,,,,,
Save My Love,Jend,Just A Blink,2025-02-27,5yzLD44eNrLTRhKvNxvyHE,62,189340,False,['stutter house'],,,,,,,,,,,,,,,,,,,
Through My System,it's murph,Through My System,2025-04-11,30uUMdzRVdYd9KuP9rJXxo,64,200051,False,"['stutter house', 'house']",,,,,,,,,,,,,,,,,,,
London i love u but ur bringing me down,Melo Nada,London i love u but ur bringing me down,2024-09-20,06Feze5QuzTjI8xfaMfSqF,62,180854,False,[],,,,,,,,,,,,,,,,,,,
Dusty Bugs,Opiuo,Dusty Bugs,2020-08-14,5X3vqUvHDIKQUp60prOkcs,36,308477,False,['glitch'],,,,,,,,,,,,,,,,,,,
I Feel Love,Mr. Belt & Wezol,I Feel Love,2022-06-10,3ObNGJI7f3uofM9PY60cFW,60,160021,False,"['future house', 'house']",,,,,,,,,,,,,,,,,,,
